"ObjectID","Meter Number","Status","Pay By Cell Number","Meter_Hours","Parking_Facility_Name","Facility","Borough","On_Street","Side_of_Street","From_Street","To_Street","Latitude","Longitude","X","Y","Location"
"14547","1409950","Active","106429","2HR Com Mon-Sat 0700-1900 / 2HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","9 AVENUE","E","WEST 50 STREET","WEST 51 STREET","40.76387819286","-73.98852568905","987,428.557935387","217,578.372635722","POINT (-73.9885256890533 40.7638781928644)"
"4030","4233160","Active","412325","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","21 STREET","E","31 DRIVE","BROADWAY","40.76578919902","-73.93101805444","1,003,358.49359514","218,281.930939898","POINT (-73.9310180544422 40.7657891990159)"
"8834","3223021","Inactive","334435","2HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","MANHATTAN AVENUE","E","CALYER STREET","NOBLE STREET","40.72852794979","-73.95343062818","997,157.267808631","204,702.369844481","POINT (-73.9534306281756 40.7285279497862)"
"11083","3043177","Active","309662","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","NOSTRAND AVENUE","E","AVENUE L","AVENUE M","40.62128605193","-73.94574321366","999,312.128328308","165,632.307236731","POINT (-73.945743213662 40.6212860519287)"
"10065","2083027","Active","205527","2HR Pas Mon-Sat 0830-1900",,"On Street","Bronx","WHITE PLAINS ROAD","W","EAST 221 STREET","EAST 222 STREET","40.88534003853","-73.86196982017","1,022,416.70383821","261,861.217468813","POINT (-73.8619698201714 40.8853400385251)"
"4179","3123007","Active","311083","2HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","5 AVENUE","E","51 STREET","52 STREET","40.64433340519","-74.01102516883","981,190.379466891","174,024.604756564","POINT (-74.0110251688342 40.6443334051945)"
"10106","1453246","Active","104328","2HR Pas Mon-Sat 0830-2200",,"On Street","Manhattan","3 AVENUE","W","EAST 16 STREET","EAST 17 STREET","40.73484232328","-73.98619309461","988,076.389316887","206,999.764199808","POINT (-73.9861930946136 40.734842323278)"
"7200","1453245","Active","104809","2HR Pas Mon-Sat 0830-2200",,"On Street","Manhattan","3 AVENUE","W","EAST 17 STREET","EAST 18 STREET","40.73548890627","-73.98573043634","988,204.570162892","207,235.355264053","POINT (-73.9857304363441 40.7354889062679)"
"14844","3583018","Active","335757","2HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","FULTON STREET","N","EUCLID AVENUE","PINE STREET","40.68327942079","-73.87365833171","1,019,290.89644155","188,238.810908139","POINT (-73.8736583317108 40.683279420787)"
"3329","3183073","Active","342535","2HR Pas Mon-Sat 0730-1900",,"On Street","Brooklyn","SMITH STREET","E","ATLANTIC AVENUE","PACIFIC STREET","40.68830829661","-73.98933183718","987,208.595776886","190,045.887018397","POINT (-73.9893318371807 40.6883082966114)"
